,Number,Gender,NameSet,GivenName,Surname,StreetAddress,City,StateFull,ZipCode,CountryFull,EmailAddress,TelephoneNumber,Birthday,Age,Occupation,Company,Vehicle,BloodType,Kilograms,FeetInches,CrimeType,Area,Crime by Area
3583,3584,male,American,Elaine,Call,2827 Walsh Street,Thunder Bay,Ontario,P7E 1J5,Canada,VernTCall@armyspy.com,807-623-7079,10/16/1983,39,Employee training specialist,Rose Records,1999 Jaguar XK,A+,79.2,"5' 6""",Vehicle Collision or Pedestrian Struck (with Injury),Latchford,100
3584,3585,male,American,Floyd,Brooks,3186 Port Washington Road,Crossfield,Alberta,T0M 0S0,Canada,RonaldEBrooks@einrot.com,403-946-0573,07-11-1972,50,Curriculum specialist,Klopfenstein's,2005 Volvo XC70,O+,84.3,"5' 9""",Vehicle Collision or Pedestrian Struck (with Injury),South Granville,35
3585,3586,female,American,Angel,Williamson,4531 9th Avenue,Woodstock,Ontario,N4S 6J6,Canada,EvelynJWilliamson@cuvox.de,519-537-8968,10/17/1990,32,Orthopedic nurse,Omni Realty,2010 Tata Sumo,A+,80.7,"5' 8""",Break and Enter Residential/Other,Mount Pleasant,5
3586,3587,male,American,Victoria,Parker,42 Birkett Lane,Brantford,Ontario,N3T 2Z8,Canada,DonaldJParker@gustr.com,519-756-7787,2/18/1986,37,Print binding and finishing worker,Thalhimers,1997 Subaru Vivio,AB+,70.5,"5' 8""",Break and Enter Residential/Other,The West End,2198
3587,3588,female,American,Susannah,Bedwell,1906 Richmond Road,Calgary,Alberta,T2T 0C6,Canada,MayraFBedwell@superrito.com,403-943-6175,4/18/2001,21,Dinkey operator,Body Toning,2008 Mitsubishi Endeavor,O+,63.3,"5' 1""",Break and Enter Residential/Other,Grandview,33
3588,3589,female,American,Chris,Small,1081 Wellington Street,Toronto,Ontario,M9C 3J5,Canada,NicoleDSmall@cuvox.de,905-238-1923,06-10-1976,46,Airfield operations specialist,All Wound Up,1997 Lexus LX,A+,69.6,"5' 7""",Vehicle Collision or Pedestrian Struck (with Injury),Central,35
3589,3590,female,American,Joseph,Tews,3609 Acton Avenue,Toronto,Ontario,M3H 4J1,Canada,MaryATews@einrot.com,416-379-1225,02-04-2001,22,Biomedical engineer,Larry's Markets,2001 Mitsubishi Dion,B+,97.8,"5' 7""",Break and Enter Commercial,Mount Pleasant,41
3590,3591,female,American,Christopher,Miller,3979 Bay Street,Toronto,Ontario,M5J 2R8,Canada,SarahAMiller@superrito.com,416-823-4595,02-11-1993,30,ASE teacher,Big Daddy's Restaurants,1998 BMW M,B+,64.8,"5' 3""",Break and Enter Commercial,Latchford,9
3591,3592,male,American,Mary,Johnson,320 Mountain Rd,Moncton,New Brunswick,E1C 1H6,Canada,WmSJohnson@fleckens.hu,506-961-4077,05-01-1990,32,Employee benefits specialist,Little Folk Shops,2012 Chrysler Delta,A+,93.4,"5' 9""",Break and Enter Commercial,Kitsilano,193
3592,3593,male,American,Will,Vick,1877 Birkett Lane,Brantford,Ontario,N3T 2Z8,Canada,NormanLVick@fleckens.hu,519-759-8934,06-05-1973,49,Motion picture camera operator,Noodle Kidoodle,2007 Isuzu Ascender,A+,98.6,"5' 10""",Break and Enter Commercial,Oakville,41
3593,3594,male,American,Dawn,Simpson,3999 Fourth Avenue,Calgary,Alberta,T2P 0H3,Canada,MarkSSimpson@armyspy.com,403-612-1165,3/14/1993,29,Information architect librarian,Crafts Canada,2010 Nissan GT-R,B+,103.9,"5' 9""",Break and Enter Commercial,South Vancouver,7
3594,3595,male,American,Thelma,Johnson,2961 Kennedy Rd,Cobourg,Ontario,K9A 1J1,Canada,GeraldEJohnson@superrito.com,905-377-1689,10/31/1992,30,Milling and planing machine tender,Wetson's,2001 Peugeot 307,O+,72.0,"5' 10""",Mischief,Oakville,100
3595,3596,female,American,Kevin,Rushing,1687 Fallon Drive,Palmerston,Ontario,N0G 2P0,Canada,GeorgiaRRushing@fleckens.hu,519-343-1367,7/20/1991,31,Earth driller,Crandall's Fine Furniture,2009 Alfa Romeo 8C Competizione,A+,89.6,"5' 6""",Offence Against a Person,Central,10
3596,3597,male,American,Joseph,Sumpter,4471 50th Street,Vegreville,Alberta,T9C 1S1,Canada,WilliamPSumpter@cuvox.de,780-208-5946,2/18/1973,50,Process metallurgical engineer,Mages,2001 Porsche GT2,A+,94.8,"5' 6""",Break and Enter Commercial,Grandview,5
3597,3598,female,American,Teresa,Graf,4656 King George Hwy,Surrey,British Columbia,V3W 4E3,Canada,HelenDGraf@rhyta.com,604-507-2677,6/22/2001,21,Rooms manager,Vibrant Man,1999 Acura RL,B+,99.4,"5' 5""",Vehicle Collision or Pedestrian Struck (with Injury),Latchford,98
3598,3599,male,American,Elizabeth,Viveiros,3857 MacLaren Street,Ottawa,Ontario,K1P 5M7,Canada,ThomasAViveiros@gustr.com,613-566-1729,1/16/2003,20,Materials engineer,Micro Design,2009 Maserati Quattroporte,B+,100.9,"6' 1""",Vehicle Collision or Pedestrian Struck (with Injury),South Vancouver,645
3599,3600,female,American,Steve,Reid,1404 Pitfield Blvd,Pierrefonds,Quebec,H9H 3C7,Canada,BettyPReid@superrito.com,514-784-4088,08-01-1991,31,Platemaker,Gallenkamp,1996 Peugeot 205,O+,59.1,"5' 5""",Vehicle Collision or Pedestrian Struck (with Injury),West Point Grey,33
3600,3601,female,American,Annie,Litton,2233 Pitfield Blvd,Pointe Claire,Quebec,H9R 2B5,Canada,KarenHLitton@superrito.com,514-783-8363,03-01-1991,31,Construction and maintenance painter,Prestigabiz,2011 Mercedes-Benz R,B+,84.0,"5' 4""",Vehicle Collision or Pedestrian Struck (with Injury),West Point Grey,229
3601,3602,male,American,Natasha,Paxton,2230 St. John Street,Colonsay,Saskatchewan,S4P 3Y2,Canada,EddieNPaxton@fleckens.hu,306-255-0729,6/18/2003,19,Control technician,Silverwoods,1994 Toyota Previa,O+,80.7,"5' 5""",Break and Enter Residential/Other,Kitsilano,53
3602,3603,female,American,Danilo,Matson,1152 Heritage Drive,Calgary,Alberta,T2V 2W2,Canada,ElizabethTMatson@armyspy.com,403-813-1278,4/29/1986,36,Sous chef,"Wholesale Club, Inc.",2001 Toyota Brevis,B+,62.2,"5' 5""",Vehicle Collision or Pedestrian Struck (with Injury),The West End,98
3603,3604,female,American,Paula,Brewster,3855 9th Ave,Lethbridge,Alberta,T1J 2J7,Canada,AudreyDBrewster@superrito.com,403-394-2100,04-04-1988,34,Postsecondary career-technical teacher,J. K. Gill Company,2015 GMC Savana,A+,89.8,"5' 8""",Vehicle Collision or Pedestrian Struck (with Injury),Latchford,41
3604,3605,male,American,Megan,Lindsay,289 Hamilton Street,Elfros,Saskatchewan,S4P 3Y2,Canada,MasonDLindsay@einrot.com,306-328-8315,10-02-2000,22,Forest fire prevention specialist,Golden's Distributors,2007 Ford Mondeo,A+,88.0,"6' 1""",Vehicle Collision or Pedestrian Struck (with Injury),South Granville,98
3605,3606,male,American,Juan,Meaney,2726 Weir Crescent,Toronto,Ontario,M1E 3T8,Canada,JohnGMeaney@jourrapide.com,647-828-1141,11-08-1997,25,Shaper,Coffey's Market,2006 Isuzu I-280,A+,65.7,"5' 11""",Vehicle Collision or Pedestrian Struck (with Injury),The West End,9
3606,3607,male,American,Tyrone,Eakins,315 49th Avenue,Kugaaruk,Northwest Territories,X0E 1K0,Canada,TerryBEakins@teleworm.us,867-769-5067,04-10-1972,50,Examiner,Orion,1995 Mercury Grand Marquis,A+,84.4,"6' 0""",Vehicle Collision or Pedestrian Struck (with Injury),Latchford,5
3607,3608,male,American,Brenda,Gray,1687 99th St,Grande Prairie,Alberta,T8V 0S1,Canada,BernardoCGray@dayrep.com,780-933-5136,12-04-1974,48,In home service professional,Bumper to Bumper Auto Parts,1998 Mazda 323,A+,82.2,"5' 6""",Vehicle Collision or Pedestrian Struck (with Injury),Central,33
3608,3609,male,American,Scott,Green,608 Islington Ave,Toronto,Ontario,M9V 2X5,Canada,RyanAGreen@teleworm.us,416-749-1341,1/18/1998,25,Convention services manager,On Cue,2015 Volkswagen CC,A+,60.6,"6' 1""",Break and Enter Residential/Other,Central,33
3609,3610,female,American,Roslyn,Jenkins,704 chemin Hudson,Montreal,Quebec,H4J 1M9,Canada,SybilRJenkins@armyspy.com,514-886-2603,9/27/1976,46,Specialist,Martin's,2002 Rolls-Royce Silver Seraph,A+,80.3,"5' 6""",Vehicle Collision or Pedestrian Struck (with Injury),West Point Grey,41
3610,3611,male,American,Paul,Paige,4735 James Street,St Catharines,Ontario,L2R 3H6,Canada,LuisCPaige@teleworm.us,905-988-1731,8/29/1986,36,Pesticide applicator,No Company,1999 Suzuki Samurai,A+,79.2,"6' 2""",Vehicle Collision or Pedestrian Struck (with Injury),Central,7
3611,3612,female,American,Dorothy,Ankney,3831 Balmy Beach Road,Owen Sound,Ontario,N4K 2N7,Canada,DaisyJAnkney@jourrapide.com,519-370-0044,1/21/1997,26,Shoe machine tender,Hill-Behan,1997 Honda Accord,O+,80.2,"5' 6""",Break and Enter Residential/Other,Kitsilano,845
3612,3613,female,American,David,Young,762 Lock Street,Guelph,Ontario,N1H 2T2,Canada,GuadalupeJYoung@einrot.com,519-831-9824,03-11-1976,46,"Molding, coremaking, and casting machine setter",Gene Walter's Marketplace,1993 Mitsubishi Valley,O+,60.4,"5' 7""",Vehicle Collision or Pedestrian Struck (with Injury),West Point Grey,5
3613,3614,female,American,Julia,Varela,1952 Quayside Dr,New Westminster,British Columbia,V3M 6A1,Canada,EdnaAVarela@gustr.com,604-808-0331,4/25/2000,22,News camera operator,Coconut's,2009 Fiat Grande Punto,B+,58.7,"5' 4""",Break and Enter Residential/Other,The West End,33
3614,3615,male,American,Paul,Fay,1839 Balmy Beach Road,Owen Sound,Ontario,N4K 2N7,Canada,JamesLFay@gustr.com,519-378-6365,04-10-2000,22,Flight attendant,Red Fox Tavern,2000 Kia Rio,B+,91.0,"5' 10""",Break and Enter Residential/Other,South Vancouver,9
3615,3616,female,American,Cleveland,Hickey,1158 Danforth Avenue,Toronto,Ontario,M4K 1A6,Canada,JulieRHickey@fleckens.hu,416-465-9991,01-12-1993,30,Fund manager,Ideal Garden Maintenance,2010 Daihatsu Cuore,A-,66.6,"5' 8""",Break and Enter Residential/Other,South Granville,8
3616,3617,male,American,Daniel,Brooks,4573 Toy Avenue,Oshawa,Ontario,L1H 7M3,Canada,EugeneDBrooks@fleckens.hu,905-260-1658,1/20/1981,42,Locker room attendant,Gantos,2002 Toyota Yaris,A+,90.9,"5' 7""",Vehicle Collision or Pedestrian Struck (with Injury),Kitsilano,787
3617,3618,female,American,George,Coonrod,1005 Brew Creek Rd,Whistler,British Columbia,V0N 1B0,Canada,LatoyaDCoonrod@rhyta.com,604-902-1188,8/22/1992,30,Leather worker,Environ Architectural Design,2008 Opel Antara,A+,85.8,"5' 8""",Break and Enter Residential/Other,Grandview,726
3618,3619,female,American,Mary,Gilliam,2739 Smith Avenue,Hamilton,Ontario,L9H 1E6,Canada,AmandaCGilliam@einrot.com,905-906-7888,11-10-1974,48,Manufacturers,Team Electronics,2012 Hyundai i20,A+,69.3,"5' 4""",Vehicle Collision or Pedestrian Struck (with Injury),South Vancouver,5
3619,3620,female,American,Cynthia,Hampton,2333 Cordova Street,Vancouver,British Columbia,V6B 1E1,Canada,KaylaAHampton@armyspy.com,778-999-6357,2/24/1980,42,DJ,Your Choices,2001 Lotus Exige,O+,86.5,"5' 7""",Vehicle Collision or Pedestrian Struck (with Injury),Kitsilano,5
3620,3621,female,American,Joseph,Valentine,3842 chemin Georges,Lavaltrie,Quebec,J0K 1H0,Canada,JuliaLValentine@armyspy.com,450-368-8887,8/19/1978,44,Travel guide,Asian Answers,1994 Kia Sephia,O+,103.1,"5' 2""",Break and Enter Residential/Other,Grandview,2198
3621,3622,male,American,Mark,Pool,4239 Wellington Street,Toronto,Ontario,M9C 3J5,Canada,DavidMPool@rhyta.com,416-641-0938,05-04-1999,23,Hand compositor,Benesome,2010 Dodge Challenger,A-,70.8,"6' 1""",Break and Enter Residential/Other,Oakville,53
3622,3623,female,American,Molly,Bowman,84 Scotchmere Dr,Sarnia,Ontario,N7S 3Y2,Canada,WandaPBowman@fleckens.hu,519-346-9004,3/20/1982,40,Agricultural manager,The Lawn Guru,2005 Mitsubishi Grandis,O+,98.3,"5' 9""",Break and Enter Residential/Other,Grandview,98
3623,3624,female,American,John,Wagner,102 James Street,Aldergrove,British Columbia,V5G 4S4,Canada,HollyWWagner@rhyta.com,604-309-7728,7/16/1978,44,Financial investigator,Roadhouse Grill,2008 Kia Cee'd,A+,67.3,"5' 9""",Break and Enter Residential/Other,Mount Pleasant,7
3624,3625,male,American,Jeffrey,Burns,871 Kinchant St,Abbotsford,British Columbia,V2T 2Z3,Canada,MarkSBurns@einrot.com,604-832-6276,7/13/1976,46,Recreation leader,Magik Grey,2009 Mercedes-Benz Viano,O+,71.5,"6' 0""",Vehicle Collision or Pedestrian Struck (with Injury),South Granville,13
3625,3626,male,American,Jeremiah,Conn,1613 Fox Run Dr,South Winsloe,Prince Edward Island,C1E 2Y6,Canada,SeanYConn@rhyta.com,902-658-9645,06-06-1974,48,Automotive engineer,Merrymaking,2015 FIAT 500,B+,95.3,"5' 11""",Vehicle Collision or Pedestrian Struck (with Injury),Grandview,645
3626,3627,male,American,James,Decker,3580 Port Washington Road,Iron Springs,Alberta,T0K 1G0,Canada,AnthonySDecker@teleworm.us,403-738-9726,12-08-1986,36,Clerical assistant,Rainbow Records,2012 Hyundai Veloster,O+,104.2,"5' 7""",Other Theft,Kitsilano,33
3627,3628,male,American,Janie,Wilson,4860 Robson St,Vancouver,British Columbia,V6B 3K9,Canada,HectorVWilson@dayrep.com,604-631-6650,09-01-1974,48,Bureau of Diplomatic Security special agent,Maurice The Pants Man,2011 Mitsubishi Eclipse,A+,86.5,"5' 11""",Vehicle Collision or Pedestrian Struck (with Injury),Grandview,41
3628,3629,male,American,Herman,Donohue,2239 De la Providence Avenue,Ste Agathe,Quebec,J8C 1J5,Canada,JohnDDonohue@superrito.com,819-217-5163,5/13/1994,28,Enrobing machine operator,DGS HomeSource,2012 Scion xB,O+,71.1,"5' 9""",Vehicle Collision or Pedestrian Struck (with Injury),Grandview,35
3629,3630,female,American,Vincent,Hickey,31 Nelson Street,Kaministiquia,Ontario,P0T 1X0,Canada,JudyJHickey@rhyta.com,807-933-2135,8/16/1993,29,Environmental engineer,Casual Corner,2002 Jeep Liberty,A+,74.1,"5' 4""",Offence Against a Person,West Point Grey,845
3630,3631,female,American,Sara,Walton,1142 Queen Elisabeth Blvd,Kerrobert,Saskatchewan,S4P 3Y2,Canada,MargaritaWWalton@rhyta.com,306-834-5026,11/17/1973,49,Hairstylist,Liberal,2009 Cadillac CTS,A+,52.5,"5' 7""",Offence Against a Person,South Vancouver,726
3631,3632,male,American,Barry,Doyon,2369 Mt Edward Rd,Charlottetown,Nova Scotia,C1A 5T1,Canada,DonEDoyon@cuvox.de,902-367-1721,10-03-1982,40,Apartment house manager,Edge Yard Service,1997 Dodge Ram,A+,93.0,"6' 1""",Break and Enter Commercial,West Point Grey,193
3632,3633,male,American,Lillie,Henry,2068 Albert Street,Holdfast,Saskatchewan,S4P 3Y2,Canada,ChrisJHenry@armyspy.com,306-488-2715,09-11-1992,30,Office support secretary,Roadhouse Grill,1993 Rover 800,B+,95.3,"5' 7""",Offence Against a Person,Kitsilano,13
3633,3634,male,American,James,Ball,1861 rue Saint-Édouard,Trois Rivieres,Quebec,G9A 5S8,Canada,ManuelJBall@einrot.com,819-380-2440,11/14/1992,30,"Heating, air-conditioning, and refrigeration engineer",Endicott Shoes,2003 Honda Z,AB+,106.1,"5' 11""",Vehicle Collision or Pedestrian Struck (with Injury),South Granville,2198
3634,3635,male,American,Marcella,Dolan,2610 Eglinton Avenue,Toronto,Ontario,M4P 1A6,Canada,BrianJDolan@cuvox.de,647-300-0072,3/22/1987,35,Pilot,Magik Lamp,1993 Mercedes-Benz 190,A-,102.7,"5' 9""",Vehicle Collision or Pedestrian Struck (with Injury),South Vancouver,53
3635,3636,female,American,Kenneth,Lloyd,1022 Toy Avenue,South Pickering,Ontario,L1V 1S8,Canada,MarshaLLloyd@cuvox.de,905-831-4618,10/24/1975,47,Shipping-and-receiving supervisor,Castro Convertibles,2002 Ferrari 456M,A+,66.7,"5' 5""",Vehicle Collision or Pedestrian Struck (with Injury),South Vancouver,9
3636,3637,male,American,Jeffrey,Rogers,4763 Galts Ave,Red Deer,Alberta,T4N 2A6,Canada,RaymondBRogers@rhyta.com,403-357-1765,11/24/1993,29,Mold and model maker,Rainbow Records,2004 Honda Odyssey,O+,100.4,"5' 10""",Vehicle Collision or Pedestrian Struck (with Injury),The West End,10
3637,3638,male,American,Barbara,Terry,1609 Carlson Road,Prince George,British Columbia,V2L 5E5,Canada,JohnFTerry@armyspy.com,250-648-4765,10/29/1990,32,Marble setter,Madcats Music & Books,2005 Vauxhall Tigra,O+,69.9,"6' 2""",Vehicle Collision or Pedestrian Struck (with Injury),Grandview,9
3638,3639,male,American,Matthew,Skidmore,2514 137th Avenue,Edmonton,Alberta,T5C 2L2,Canada,StevenJSkidmore@jourrapide.com,780-457-5293,1/18/1989,34,Marketing specialist,Hamady Bros. Supermarkets,2008 Cadillac CTS,O+,68.4,"5' 9""",Vehicle Collision or Pedestrian Struck (with Injury),Grandview,7
3639,3640,male,American,Kevin,Spurlock,1091 Isabella Street,Pembroke,Ontario,K8A 5S5,Canada,MarkMSpurlock@jourrapide.com,613-732-1863,10/27/1985,37,Receive-and-deliver clerk,The Fox and Hound ,2006 BMW M5,O-,95.9,"6' 2""",Break and Enter Residential/Other,West Point Grey,5
3640,3641,female,American,Charles,Tinsley,3304 rue Levy,Montreal,Quebec,H3C 5K4,Canada,HildaRTinsley@gustr.com,514-609-5427,3/31/1999,23,Soldering worker,Mission You,2003 Mitsubishi Eclipse,O+,86.4,"5' 4""",Vehicle Collision or Pedestrian Struck (with Injury),Central,47
3641,3642,female,American,Roberta,Hewitt,2498 Bay Street,Toronto,Ontario,M5J 2R8,Canada,DianeWHewitt@superrito.com,416-834-4012,8/16/1997,25,Farm and home management advisor,Prospa-Pal,2002 GMC Safari,O-,62.7,"5' 3""",Vehicle Collision or Pedestrian Struck (with Injury),The West End,33
3642,3643,male,American,Roland,Turcotte,1540 rue des Champs,Chicoutimi,Quebec,G7H 4N3,Canada,JohnBTurcotte@rhyta.com,418-696-6543,12/30/2003,19,Cost engineer,Asian Solutions,2004 Saturn L,O+,55.7,"5' 7""",Vehicle Collision or Pedestrian Struck (with Injury),West Point Grey,5
3643,3644,male,American,Ray,Littleton,3070 King George Hwy,Surrey,British Columbia,V3W 4E3,Canada,MichaelSLittleton@superrito.com,604-591-1366,2/18/1974,49,Technical training coordinator,ABCO Foods,2008 Citroen C8,B+,98.6,"5' 6""",Vehicle Collision or Pedestrian Struck (with Injury),Mount Pleasant,193
3644,3645,male,American,Sheri,Hester,1221 Brand Road,Saskatoon,Saskatchewan,S7K 1W8,Canada,StevenJHester@cuvox.de,306-653-8881,6/21/1975,47,Plasma cutter,Super Saver Foods,2008 Mercedes-Benz Viano,B+,80.1,"6' 1""",Vehicle Collision or Pedestrian Struck (with Injury),Central,645
3645,3646,female,American,Helen,Regis,4445 rue Levy,Montreal,Quebec,H3C 5K4,Canada,TammieTRegis@gustr.com,514-770-1850,12/20/1998,24,Personal chef,House 2 Home,1994 Honda Today,B+,73.7,"5' 6""",Vehicle Collision or Pedestrian Struck (with Injury),The West End,645
3646,3647,male,American,Sabrina,Ryan,4385 Robson St,Vancouver,British Columbia,V6B 3K9,Canada,DavidTRyan@gustr.com,604-689-1055,4/13/1984,38,General trial court judge,Hamady Bros. Supermarkets,2011 Ford Crown Victoria,B+,77.0,"5' 10""",Vehicle Collision or Pedestrian Struck (with Injury),Grandview,845
3647,3648,female,American,James,Keys,3451 Fallon Drive,Teeswater,Ontario,N0G 2S0,Canada,LauriePKeys@einrot.com,519-392-9455,2/25/1994,28,Volcanologist,Quality Event Planner,2009 Chevrolet Spark,O+,84.4,"5' 9""",Vehicle Collision or Pedestrian Struck (with Injury),Latchford,47
3648,3649,male,American,Chuck,Hamilton,2767 rue des Églises Est,Campbell's Bay,Quebec,J0X 1K0,Canada,ChristopherGHamilton@rhyta.com,819-648-5885,3/29/1979,43,Vascular sonographer,Cavages,1996 Audi A6,B+,69.1,"5' 6""",Vehicle Collision or Pedestrian Struck (with Injury),Grandview,7
3649,3650,male,American,Gregory,Brennan,2160 rue Saint-Charles,Longueuil,Quebec,J4H 1M3,Canada,ReneDBrennan@cuvox.de,450-677-7327,12/13/1999,23,Applicator,Strategic Profit,2015 Volkswagen Beetle Convertible,O+,98.2,"5' 6""",Offence Against a Person,The West End,35
3650,3651,male,American,Delores,Burt,2841 rue Saint-Charles,Longueuil,Quebec,J4H 1M3,Canada,JohnCBurt@cuvox.de,450-677-8488,03-04-1997,25,Legal assistant,One-Up Realty,2001 Toyota Altezza,A+,70.5,"6' 2""",Vehicle Collision or Pedestrian Struck (with Injury),South Vancouver,98
3651,3652,male,American,Gladys,Phillips,330 Alness Street,Toronto,Ontario,M3J 2J1,Canada,AbrahamKPhillips@teleworm.us,416-667-6343,01-03-1986,37,Nurse practitioner,Gemco,1993 Ford Aerostar,A+,94.6,"6' 0""",Vehicle Collision or Pedestrian Struck (with Injury),South Vancouver,47
3652,3653,female,American,Cindy,Hernandez,4988 Tycos Dr,Toronto,Ontario,M5T 1T4,Canada,KimberlyRHernandez@armyspy.com,416-597-0115,05-01-1986,36,Executive administrative assistant,Luskin's,1993 Aston Martin Virage,O-,86.3,"5' 5""",Vehicle Collision or Pedestrian Struck (with Injury),Kitsilano,645
3653,3654,male,American,James,Kennedy,1448 Holdom Avenue,Surrey,British Columbia,V3T 4Y5,Canada,ChadMKennedy@superrito.com,604-580-0956,11-03-1989,33,Dispensing optician,System Star Solutions,1996 Renault Clio,O-,65.1,"5' 6""",Vehicle Collision or Pedestrian Struck (with Injury),Kitsilano,35
3654,3655,male,American,Mary,Rowland,4074 rue Levy,Montreal,Quebec,H3C 5K4,Canada,DaleMRowland@rhyta.com,514-592-7268,10/18/1978,44,Residential advisor,Excella,2007 Lancia Phedra,O+,106.0,"5' 7""",Vehicle Collision or Pedestrian Struck (with Injury),Mount Pleasant,787
3655,3656,female,American,Ronald,Kendall,3753 Eglinton Avenue,Toronto,Ontario,M4P 1A6,Canada,MarthaSKendall@armyspy.com,416-481-0933,8/18/1975,47,Psychologist,Elek-Tek,2000 Chrysler Howler,B+,75.1,"5' 7""",Offence Against a Person,South Granville,100
3656,3657,male,American,Billie,Ramsey,2371 St Jean Baptiste St,Ste Eulalie,Quebec,G0Z 1E0,Canada,JermaineDRamsey@fleckens.hu,819-225-8778,7/22/1985,37,Radiation therapist,E-zhe Source,2003 BMW 530,O-,93.0,"5' 6""",Vehicle Collision or Pedestrian Struck (with Injury),South Vancouver,2198
3657,3658,male,American,Gary,Olson,3918 Reserve St,Palmer Rapids,Ontario,K0J 2E0,Canada,JesseGOlson@cuvox.de,613-758-6464,8/31/1980,42,Estimator project manager,Harmony House,2005 Bugatti EB 118,A+,115.2,"5' 7""",Vehicle Collision or Pedestrian Struck (with Injury),South Granville,35
3658,3659,male,American,Evelyn,Pitt,2541 rue Levy,Montreal,Quebec,H3C 5K4,Canada,EugeneSPitt@fleckens.hu,514-346-5050,08-08-1981,41,Landscape designer,Choices,2012 Mercedes-Benz GL,A+,83.1,"6' 2""",Vehicle Collision or Pedestrian Struck (with Injury),Grandview,787
3659,3660,female,American,Douglas,Williams,2334 Lauzon Parkway,Windsor,Ontario,N8Y 4V1,Canada,HildaJWilliams@gustr.com,519-981-2998,12-12-1991,31,Top executive,Belle Lady,2012 Acura ZDX,B+,67.6,"5' 8""",Offence Against a Person,Mount Pleasant,10
3660,3661,male,American,Robert,Gilbert,4384 Brew Creek Rd,Squamish,British Columbia,V0N 3G0,Canada,KyleRGilbert@teleworm.us,604-890-9959,8/16/1989,33,Timekeeper,The Pink Pig Tavern,2012 BMW X1,O+,69.6,"6' 0""",Vehicle Collision or Pedestrian Struck (with Injury),Grandview,5
3661,3662,female,American,Arthur,Hudson,349 Yonge Street,Toronto,Ontario,M4W 1J7,Canada,LauraDHudson@dayrep.com,416-355-7177,05-04-1997,25,Immigration and Naturalization Service (INS) agent,Steve & Barry's,2004 Kia Retona,O+,47.1,"5' 5""",Vehicle Collision or Pedestrian Struck (with Injury),The West End,845
3662,3663,female,American,John,Battles,1139 boulevard des Laurentides,Trois Rivieres,Quebec,G9A 5W1,Canada,DebraBBattles@armyspy.com,819-384-5206,10/14/1992,30,Midwife,Raleigh's,2007 Ford Crown Victoria,B+,74.4,"5' 7""",Vehicle Collision or Pedestrian Struck (with Injury),Kitsilano,726
3663,3664,female,American,Russell,Stepp,3724 3rd Avenue,Lloydminster,Alberta,T1J 3Y2,Canada,MarieDStepp@einrot.com,780-861-0854,9/13/1984,38,Merchant marine sailor,Borders Books,1995 Fiat Ulysse,A+,101.1,"5' 7""",Vehicle Collision or Pedestrian Struck (with Injury),Oakville,726
3664,3665,male,American,Lisa,Randolph,278 Rose Street,Regina,Saskatchewan,S4P 3Y2,Canada,JustinDRandolph@jourrapide.com,306-949-8325,9/28/1978,44,Dividend clerk,Johnson's General Stores,2006 Lexus GS,A+,81.9,"5' 6""",Vehicle Collision or Pedestrian Struck (with Injury),South Vancouver,9
3665,3666,male,American,Nathan,Kimmel,4356 Robson St,Vancouver,British Columbia,V6B 3K9,Canada,BenLKimmel@armyspy.com,604-975-2925,9/20/1977,45,Structural metal fabricator,Anthony's,2007 Hyundai Getz,O+,66.4,"5' 11""",Vehicle Collision or Pedestrian Struck (with Injury),South Granville,2198
3666,3667,male,American,Nathalie,Cote,950 Blanshard,Victoria,British Columbia,V8W 2H9,Canada,ChristopherACote@einrot.com,250-220-1926,9/18/1985,37,Card punching machine operator,Custom Lawn Care,1996 Fiat Panda,O+,87.3,"5' 7""",Break and Enter Residential/Other,Central,8
3667,3668,female,American,Alton,Mejia,2218 Beaver Creek,Thornhill,Ontario,L4J 1W2,Canada,SylviaJMejia@gustr.com,905-709-7121,01-07-1979,44,Charter bus driver,Exact Realty,2000 Nissan Sentra,O+,97.5,"5' 7""",Vehicle Collision or Pedestrian Struck (with Injury),South Vancouver,5
3668,3669,male,American,Marie,Guillemette,3770 Robson St,Vancouver,British Columbia,V6B 3K9,Canada,JoseDGuillemette@superrito.com,604-632-3573,4/30/1997,25,Administrative clerk,Waccamaw's Homeplace,2005 Mitsubishi Grandis,B+,92.6,"5' 7""",Vehicle Collision or Pedestrian Struck (with Injury),Grandview,7
3669,3670,male,American,Irvin,Hammond,3883 St Jean Baptiste St,Petite Riviere St Francois,Quebec,G0A 2L0,Canada,DavidRHammond@dayrep.com,418-632-2554,01-08-1987,36,Traffic clerk,Team Uno,2002 Buick Century,O-,77.2,"5' 8""",Vehicle Collision or Pedestrian Struck (with Injury),Latchford,193
3670,3671,male,American,Walter,Thomas,784 Dufferin Street,Toronto,Ontario,M6H 4B6,Canada,StephenLThomas@teleworm.us,416-538-6201,3/15/1984,38,Animal control worker,Honest Air Group,2010 Aston Martin DBS,B+,69.7,"5' 11""",Break and Enter Residential/Other,South Granville,10
3671,3672,male,American,April,King,1430 Reserve St,Plevna,Ontario,K0H 2M0,Canada,JustinVKing@einrot.com,613-479-7107,03-03-1975,47,Analytical chemist,Forth & Towne,1993 Fiat Punto,O+,111.0,"5' 7""",Vehicle Collision or Pedestrian Struck (with Injury),West Point Grey,229
